Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,names,Symbol
2020-03-15,5201.06689453125,5836.64501953125,5169.283203125,5392.31494140625,33997889639,0,0,Bitcoin,BTC
2020-03-16,5385.2294921875,5385.2294921875,4575.35791015625,5014.47998046875,45368026430,0,0,Bitcoin,BTC
2020-03-17,5002.578125,5371.3486328125,4981.9091796875,5225.62939453125,38622642935,0,0,Bitcoin,BTC
2020-03-18,5227.11376953125,5331.833984375,5069.3359375,5238.4384765625,37878801016,0,0,Bitcoin,BTC
2020-03-19,5245.41650390625,6329.73583984375,5236.96875,6191.19287109375,51000731797,0,0,Bitcoin,BTC
2020-03-20,6191.65380859375,6844.26171875,5865.78173828125,6198.7783203125,54442976103,0,0,Bitcoin,BTC
2020-03-21,6206.521484375,6378.13525390625,5932.8232421875,6185.06640625,42494390880,0,0,Bitcoin,BTC
2020-03-22,6185.55810546875,6359.697265625,5823.7138671875,5830.2548828125,40099664740,0,0,Bitcoin,BTC
2020-03-23,5831.37451171875,6443.9345703125,5785.00439453125,6416.31494140625,46491916000,0,0,Bitcoin,BTC
2020-03-24,6436.642578125,6789.02294921875,6411.06640625,6734.8037109375,48221910672,0,0,Bitcoin,BTC
2020-03-25,6738.716796875,6892.51123046875,6536.92626953125,6681.06298828125,44590107888,0,0,Bitcoin,BTC
2020-03-26,6675.1708984375,6735.4638671875,6590.962890625,6716.4404296875,35319797642,0,0,Bitcoin,BTC
2020-03-27,6719.38916015625,6793.83642578125,6466.70166015625,6469.79833984375,34585598367,0,0,Bitcoin,BTC
2020-03-28,6467.25390625,6467.5009765625,6117.837890625,6242.19384765625,34885225901,0,0,Bitcoin,BTC
2020-03-29,6245.62451171875,6250.46728515625,5920.0859375,5922.04296875,28373690931,0,0,Bitcoin,BTC
2020-03-30,5925.53857421875,6517.19580078125,5903.234375,6429.841796875,37101651525,0,0,Bitcoin,BTC
2020-03-31,6430.6064453125,6504.51513671875,6374.162109375,6438.64453125,32786468812,0,0,Bitcoin,BTC
2020-04-01,6437.3193359375,6612.57373046875,6202.37353515625,6606.7763671875,40346426266,0,0,Bitcoin,BTC
2020-04-02,6606.7763671875,7088.24755859375,6595.91845703125,6793.62451171875,47660646124,0,0,Bitcoin,BTC
2020-04-03,6797.396484375,7003.220703125,6673.3359375,6733.38720703125,38976504903,0,0,Bitcoin,BTC
2020-04-04,6738.3828125,6878.95361328125,6696.48486328125,6867.52734375,33185988584,0,0,Bitcoin,BTC
2020-04-05,6862.53759765625,6883.4140625,6715.92919921875,6791.12939453125,29510409856,0,0,Bitcoin,BTC
2020-04-06,6788.0498046875,7271.78125,6782.8896484375,7271.78125,46896904615,0,0,Bitcoin,BTC
2020-04-07,7273.64404296875,7427.939453125,7136.71435546875,7176.41455078125,44243482668,0,0,Bitcoin,BTC
2020-04-08,7179.283203125,7356.2236328125,7153.3056640625,7334.0986328125,37563249549,0,0,Bitcoin,BTC
2020-04-09,7337.96630859375,7341.4482421875,7179.09423828125,7302.08935546875,34815139178,0,0,Bitcoin,BTC
2020-04-10,7303.8154296875,7303.8154296875,6802.47509765625,6865.4931640625,43622840992,0,0,Bitcoin,BTC
2020-04-11,6867.4404296875,6926.06982421875,6789.9208984375,6859.0830078125,31222085946,0,0,Bitcoin,BTC
2020-04-12,6858.06787109375,7119.947265625,6811.078125,6971.091796875,35759567632,0,0,Bitcoin,BTC
2020-04-13,6965.61669921875,6965.61669921875,6668.259765625,6845.03759765625,38619308647,0,0,Bitcoin,BTC
2020-04-14,6843.28173828125,6958.55712890625,6793.8212890625,6842.427734375,34110434052,0,0,Bitcoin,BTC
2020-04-15,6845.5615234375,6928.66455078125,6633.40283203125,6642.10986328125,32288311031,0,0,Bitcoin,BTC
2020-04-16,6640.4541015625,7134.45068359375,6555.50439453125,7116.80419921875,46783242377,0,0,Bitcoin,BTC
2020-04-17,7116.552734375,7167.18310546875,7050.33203125,7096.1845703125,32513423567,0,0,Bitcoin,BTC
2020-04-18,7092.29150390625,7269.95654296875,7089.2470703125,7257.6650390625,32447188386,0,0,Bitcoin,BTC
2020-04-19,7260.92236328125,7280.52197265625,7167.0546875,7189.4248046875,31311210215,0,0,Bitcoin,BTC
2020-04-20,7186.87353515625,7240.29052734375,6835.5029296875,6881.95849609375,37747113936,0,0,Bitcoin,BTC
2020-04-21,6879.7841796875,6934.5517578125,6834.4423828125,6880.3232421875,32589741511,0,0,Bitcoin,BTC
2020-04-22,6879.4404296875,7145.86572265625,6867.78173828125,7117.20751953125,33249153866,0,0,Bitcoin,BTC
2020-04-23,7121.30615234375,7491.78515625,7081.5947265625,7429.724609375,43500782316,0,0,Bitcoin,BTC
2020-04-24,7434.181640625,7574.19580078125,7434.181640625,7550.90087890625,34636526286,0,0,Bitcoin,BTC
2020-04-25,7550.48291015625,7641.36376953125,7521.67236328125,7569.93603515625,32941541447,0,0,Bitcoin,BTC
2020-04-26,7570.13916015625,7700.59423828125,7561.40771484375,7679.8671875,33070154491,0,0,Bitcoin,BTC
2020-04-27,7679.4189453125,7795.60107421875,7679.4189453125,7795.60107421875,36162144725,0,0,Bitcoin,BTC
2020-04-28,7796.97021484375,7814.52734375,7730.806640625,7807.05859375,33187959921,0,0,Bitcoin,BTC
2020-04-29,7806.71240234375,8871.75390625,7786.04931640625,8801.0380859375,60201052203,0,0,Bitcoin,BTC
